lambda,gamma,exact_bias,monte_carlo_bias,bias_error,variance,mse
0.0,0.0,0.0,-0.00024870000000021264,-0.00024870000000021264,0.001991770407584376,0.001991832259274376
0.0,0.25,0.0,-0.00021546923076942726,-0.00021546923076942726,0.0014891903103539075,0.0014892367373433156
0.0,0.5,0.0,-0.00019086666666667806,-0.00019086666666667806,0.0011683862543599999,0.0011684226844444444
0.0,0.75,0.0,-0.0001720939393939913,-0.0001720939393939913,0.0009551401005151221,0.0009551697168390985
0.0,1.0,0.0,-0.00015750000000014364,-0.00015750000000014364,0.00081122809375,0.0008112529000000001
0.25,0.0,0.0,-0.0003166738095239374,-0.0003166738095239374,0.002042575729824213,0.0020426760121258513
0.25,0.25,-0.00791208791208791,-0.008186560714285807,-0.0002744728021978962,0.001527421438722787,0.0015944412150514752
0.25,0.5,-0.014166666666666676,-0.014409920833333478,-0.00024325416666680193,0.0011984288677923435,0.0014060746862152819
0.25,0.75,-0.019393939393939397,-0.01961340126262634,-0.00021946186868694248,0.0009795774031437635,0.0013642629122325568
0.25,1.0,-0.024000000000000004,-0.02420100000000014,-0.0002010000000001351,0.0008316949615,0.0014173833625000043
0.5,0.0,0.0,-0.0003846476190477732,-0.0003846476190477732,0.002167080760971066,0.0021672287147619053
0.5,0.25,-0.015824175824175824,-0.016157652197802297,-0.00033347637362647273,0.0016221899079249713,0.0018832596324701175
0.5,0.5,-0.028333333333333353,-0.02862897500000028,-0.0002956416666669258,0.0012740005275327087,0.002093618737083342
0.5,0.75,-0.038787878787878795,-0.0390547085858588,-0.00026682979798000467,0.0010421907580557262,0.002567461020782078
0.5,1.0,-0.048,-0.048244500000000134,-0.0002445000000001335,0.0008853421697499997,0.0032128739500000177
0.75,0.0,0.0,-0.00045262142857172005,-0.00045262142857172005,0.002365285501024937,0.002365490367182539
0.75,0.25,-0.023736263736263735,-0.024128743681318898,-0.00039247994505516373,0.0017734957179604575,0.0023556919895992437
0.75,0.5,-0.042500000000000024,-0.042848029166666746,-0.0003480291666667218,0.0013951012335810936,0.0032310548370486233
0.75,0.75,-0.05818181818181818,-0.058496015909090926,-0.0003141977272727442,0.0011429801652510121,0.004564764042487646
0.75,1.0,-0.07200000000000001,-0.07228800000000013,-0.0002880000000001215,0.0009721697185000001,0.006197724662500022
1.0,0.0,0.0,-0.0005205952380954448,-0.0005205952380954448,0.002637189949985829,0.0026374609693877566
1.0,0.25,-0.03164835164835165,-0.03209983516483539,-0.00045148351648374024,0.001981338868829248,0.003011738286438845
1.0,0.5,-0.056666666666666705,-0.057067083333333546,-0.00040041666666684045,0.0015617309859375,0.004818382986111128
1.0,0.75,-0.07757575757575759,-0.07793732323232339,-0.000361565656565796,0.0012819456247296196,0.007356171977349267
1.0,1.0,-0.096,-0.09633150000000024,-0.0003315000000002344,0.00109217760775,0.010371935500000035
