lambda,gamma,exact_bias,monte_carlo_bias,bias_error,bias_se,bias_z,variance,mse,mse_decomposition_error
0.0,0.0,0.0,-0.00024870000000021264,-0.00024870000000021264,0.0009979404810870173,-0.24921325942135697,0.001991770407584376,0.001991832259274376,0.0
0.0,0.25,0.0,-0.00021546923076942726,-0.00021546923076942726,0.0008628992729032478,-0.2497038038338765,0.0014891903103539075,0.0014892367373433156,-2.168404344971009e-19
0.0,0.5,0.0,-0.00019086666666667806,-0.00019086666666667806,0.0007643252757694199,-0.2497191610921661,0.0011683862543599999,0.0011684226844444444,0.0
0.0,0.75,0.0,-0.0001720939393939913,-0.0001720939393939913,0.000691064432782907,-0.24902734279200478,0.0009551401005151221,0.0009551697168390985,2.168404344971009e-19
0.0,1.0,0.0,-0.00015750000000014364,-0.00015750000000014364,0.0006368783611295017,-0.24729997062675813,0.00081122809375,0.0008112529000000001,0.0
0.25,0.0,0.0,-0.0003166738095239374,-0.0003166738095239374,0.0010105878808456524,-0.31335603318233657,0.002042575729824213,0.0020426760121258513,0.0
0.25,0.25,-0.00791208791208791,-0.008186560714285807,-0.0002744728021978962,0.000873905440743673,-0.31407608809979065,0.001527421438722787,0.0015944412150514752,4.336808689942018e-19
0.25,0.5,-0.014166666666666676,-0.014409920833333478,-0.00024325416666680193,0.0007740894224158937,-0.31424556339707893,0.0011984288677923435,0.0014060746862152819,2.168404344971009e-19
0.25,0.75,-0.019393939393939397,-0.01961340126262634,-0.00021946186868694248,0.000699849056277053,-0.3135845747287297,0.0009795774031437635,0.0013642629122325568,8.673617379884035e-19
0.25,1.0,-0.024000000000000004,-0.02420100000000014,-0.0002010000000001351,0.0006448623734953064,-0.3116944145937181,0.0008316949615,0.0014173833625000043,-2.3852447794681098e-18
0.5,0.0,0.0,-0.0003846476190477732,-0.0003846476190477732,0.0010409324572159008,-0.36952216868763954,0.002167080760971066,0.0021672287147619053,0.0
0.5,0.25,-0.015824175824175824,-0.016157652197802297,-0.00033347637362647273,0.0009006081023189195,-0.370279117818089,0.0016221899079249713,0.0018832596324701175,8.673617379884035e-19
0.5,0.5,-0.028333333333333353,-0.02862897500000028,-0.0002956416666669258,0.0007981229628110911,-0.3704212012966499,0.0012740005275327087,0.002093618737083342,-7.37257477290143e-18
0.5,0.75,-0.038787878787878795,-0.0390547085858588,-0.00026682979798000467,0.0007218693642397238,-0.36963723798007564,0.0010421907580557262,0.002567461020782078,-1.3010426069826053e-18
0.5,1.0,-0.048,-0.048244500000000134,-0.0002445000000001335,0.0006653353176218739,-0.36748387395705445,0.0008853421697499997,0.0032128739500000177,5.204170427930421e-18
0.75,0.0,0.0,-0.00045262142857172005,-0.00045262142857172005,0.0010874937933213543,-0.41620598788831015,0.002365285501024937,0.002365490367182539,-4.336808689942018e-19
0.75,0.25,-0.023736263736263735,-0.024128743681318898,-0.00039247994505516373,0.0009416729044526177,-0.4167901011055503,0.0017734957179604575,0.0023556919895992437,-4.336808689942018e-19
0.75,0.5,-0.042500000000000024,-0.042848029166666746,-0.0003480291666667218,0.0008351949573545969,-0.4167041043555533,0.0013951012335810936,0.0032310548370486233,5.637851296924623e-18
0.75,0.75,-0.05818181818181818,-0.058496015909090926,-0.0003141977272727442,0.0007559696307560945,-0.4156221552954377,0.0011429801652510121,0.004564764042487646,1.5612511283791264e-17
0.75,1.0,-0.07200000000000001,-0.07228800000000013,-0.0002880000000001215,0.0006971978623389489,-0.4130821615458536,0.0009721697185000001,0.006197724662500022,2.6020852139652106e-18
1.0,0.0,0.0,-0.0005205952380954448,-0.0005205952380954448,0.0011483009078603545,-0.453361339812469,0.002637189949985829,0.0026374609693877566,0.0
1.0,0.25,-0.03164835164835165,-0.03209983516483539,-0.00045148351648374024,0.0009953237837079067,-0.45360467003191307,0.001981338868829248,0.003011738286438845,-5.637851296924623e-18
1.0,0.5,-0.056666666666666705,-0.057067083333333546,-0.00040041666666684045,0.000883665939690305,-0.45313126678524346,0.0015617309859375,0.004818382986111128,-6.938893903907228e-18
1.0,0.75,-0.07757575757575759,-0.07793732323232339,-0.000361565656565796,0.0008006077768575633,-0.45161397005780324,0.0012819456247296196,0.007356171977349267,-6.938893903907228e-18
1.0,1.0,-0.096,-0.09633150000000024,-0.0003315000000002344,0.0007389782161031542,-0.4485923844255244,0.00109217760775,0.010371935500000035,-1.0408340855860843e-17
