estimator,mean,bias,variance,mse,std,scaled_variance,min,max
DM oracle,0.6599993,-7.000000001866624e-07,1.954739510000019e-06,1.95474000000002e-06,0.0013981199912740034,0.0003909479020000038,0.6551999999999998,0.6662
DM wrong mu,0.5,-0.16000000000000014,0.0,0.02560000000000005,0.0,0.0,0.5,0.5
IPS correct b,0.6589169047619048,-0.0010830952380953551,0.0060433095577664435,0.006044482653061228,0.07773872624224328,1.2086619115532886,0.3990476190476191,0.9538095238095241
IPS wrong b,0.443385,-0.21661500000000017,0.002104599775,0.049026658000000056,0.045875917157044394,0.42091995499999996,0.29200000000000004,0.61
SNIPS correct b,0.6586852300013443,-0.0013147699986558736,0.0022050668251272637,0.00220679544527663,0.04695813907223394,0.44101336502545274,0.4655555555555555,0.8013043478260868
SNIPS wrong b,0.5829540586148441,-0.07704594138515608,0.0017374450523605458,0.007673522136285467,0.04168267088803866,0.34748901047210917,0.42441860465116277,0.7153465346534653
"DR correct mu, correct b",0.6597512999999999,-0.00024870000000021264,0.001991770407584376,0.001991832259274376,0.044629255064188286,0.3983540815168752,0.506447619047619,0.8055809523809523
"DR correct mu, wrong b",0.6598425,-0.00015750000000014364,0.00081122809375,0.0008112529000000001,0.028482066177684513,0.16224561875000001,0.5713999999999999,0.7556
"DR wrong mu, correct b",0.6594794047619047,-0.0005205952380954448,0.002637189949985829,0.0026374609693877566,0.05135357777200951,0.5274379899971658,0.4704761904761905,0.8585714285714287
"DR wrong mu, wrong b",0.5636684999999999,-0.09633150000000024,0.00109217760775,0.010371935500000035,0.03304811050196365,0.21843552155,0.44799999999999995,0.682
