delta,estimator,true_value,mean,bias,variance,mse,std,scaled_variance,min,max
0.0,DM,0.43499999999999994,0.435001925,1.9250000000692324e-06,1.4782717544375081e-05,1.4782721250000084e-05,0.003844829976003501,0.002956543508875016,0.41795000000000004,0.4482000000000001
0.0,IPS,0.43499999999999994,0.43473,-0.00026999999999993696,0.0012139020999999998,0.001213975,0.03484109785870703,0.24278041999999997,0.31,0.545
0.0,SNIPS,0.43499999999999994,0.43473,-0.00026999999999993696,0.0012139020999999998,0.001213975,0.03484109785870703,0.24278041999999997,0.31,0.545
0.0,DR,0.43499999999999994,0.43487767499999996,-0.0001223249999999787,0.0009635281328443748,0.0009635430962499998,0.031040749553520364,0.19270562656887497,0.31629999999999997,0.5324
0.25,DM,0.49124999999999996,0.49125126875,1.2687500000607699e-06,6.421624718398407e-06,6.421626328124968e-06,0.0025340924841841125,0.0012843249436796814,0.4800125,0.49994999999999995
0.25,IPS,0.49124999999999996,0.4907767261904762,-0.0004732738095237776,0.001772528275931831,0.001772752264030612,0.04210140467884452,0.3545056551863662,0.3614880952380953,0.6292261904761904
0.25,SNIPS,0.49124999999999996,0.4905773833163805,-0.0006726166836194536,0.0013541386367830672,0.0013545910499861505,0.0367986227566069,0.2708277273566134,0.36767371601208465,0.6075287356321841
0.25,DR,0.49124999999999996,0.49109608125,-0.00015391874999998167,0.0010148519153458145,0.0010148756063274162,0.031856740500964854,0.2029703830691629,0.3795202380952381,0.5892273809523809
0.5,DM,0.5475,0.5475006125,6.125000000523073e-07,1.4965974373437178e-06,1.496597812499968e-06,0.0012233549923647339,0.0002993194874687436,0.5420750000000001,0.5517
0.5,IPS,0.5475,0.5468234523809524,-0.0006765476190475628,0.0027636382442035156,0.0027640959608843546,0.05257031714003175,0.5527276488407031,0.3770238095238095,0.729404761904762
0.5,SNIPS,0.5475,0.5464347356924173,-0.0010652643075826917,0.0015654058052576554,0.0015665405933026648,0.039565209531325064,0.3130811610515311,0.40602564102564115,0.6718181818181818
0.5,DR,0.5475,0.5473144875,-0.00018551249999998465,0.0012033335553029618,0.001203367970190618,0.034689098508075444,0.24066671106059237,0.4422273809523809,0.6608904761904761
0.75,DM,0.60375,0.60374995625,-4.374999995615525e-08,7.635701210938162e-09,7.635703125000658e-09,8.738249945462857e-05,1.5271402421876324e-06,0.60345,0.6041375000000001
0.75,IPS,0.60375,0.6028701785714287,-0.0008798214285713479,0.004187232004815051,0.0041880060905612245,0.06470882478313952,0.8374464009630103,0.3880357142857144,0.8416071428571431
0.75,SNIPS,0.60375,0.602427493307066,-0.001322506692933989,0.001841467522349473,0.0018432165463023286,0.042912323665230165,0.3682935044698946,0.4346000000000001,0.7380000000000002
0.75,DR,0.60375,0.6035328937499999,-0.00021710625000015416,0.001528973052715816,0.0015290201878396053,0.03910208501750023,0.3057946105431632,0.47776607142857136,0.7332357142857142
1.0,DM,0.6600000000000001,0.6599993,-7.000000001866624e-07,1.954739510000019e-06,1.95474000000002e-06,0.0013981199912740034,0.0003909479020000038,0.6551999999999998,0.6662
1.0,IPS,0.6600000000000001,0.6589169047619048,-0.0010830952380953551,0.0060433095577664435,0.006044482653061228,0.07773872624224328,1.2086619115532886,0.3990476190476191,0.9538095238095241
1.0,SNIPS,0.6600000000000001,0.6586852300013443,-0.0013147699986558736,0.0022050668251272637,0.00220679544527663,0.04695813907223394,0.44101336502545274,0.4655555555555555,0.8013043478260868
1.0,DR,0.6600000000000001,0.6597512999999999,-0.00024870000000021264,0.001991770407584376,0.001991832259274376,0.044629255064188286,0.3983540815168752,0.506447619047619,0.8055809523809523
